"filename", "language", "TypeScript", "JSON", "CSS", "HTML", "SCSS", "JavaScript", "Markdown", "JSON with Comments", "comment", "blank", "total"
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Models/user.spec.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Models/user.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Services/auth.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Services/auth.service.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 6, 9, 40
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Services/comment.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Services/comment.service.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Services/dashboard.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Services/dashboard.service.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Services/local-storage.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Services/local-storage.service.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Services/profile.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Services/profile.service.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 1, 7, 22
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Services/ticket-view.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Services/ticket-view.service.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Services/ticket.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Services/ticket.service.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 23, 12, 75
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Services/user.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/Services/user.service.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 1, 11, 45
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/angular-material/angular-material.module.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 1, 4, 66
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/app-routing.module.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/app.component.css", "CSS", 0, 0, 68, 0, 0, 0, 0, 0, 13, 26, 107
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/app.component.html", "HTML", 0, 0, 0, 46, 0, 0, 0, 0, 19, 9, 74
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/app.component.spec.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 5, 54
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/app.component.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 2, 5, 35
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/app/app.module.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 7, 5, 77
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/assets/ticket_data.json", "JSON", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 58
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/aws-exports.d.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/mattluca/Documents/SAC STATE/CSC 191/Dajani Ticketing System/DajaniTicketingSystem/frontend-app/src/custom-theme.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 15, 8, 36
